category_no,category_name,parent_category_no
111523,防災セット,111519
111523,防災セット,111519
111525,防犯器具,111524
111525,防犯器具,111524
111526,防犯グッズ,111524
111526,防犯グッズ,111524
112661,その他,110395
112662,その他,110406
112663,その他,110411
112664,その他,110420
110001,花束,113084
112666,その他,110428
112670,その他,110463
112671,その他,110472
112675,その他,110487
112676,その他,110494
112678,その他,110502
112705,その他,110626
112706,その他,110632
112707,その他,110636
112708,その他,110642
112710,その他,110662
112715,その他,110692
112721,その他,110729
112722,その他,110734
112726,その他,110765
112729,その他,110804
112732,その他,110811
111773,スタイリング剤,111772
111774,ヘアカラー,111772
111776,ベースメイク,111775
111777,アイメイク,111775
111778,リップメイク,111775
112735,その他,110831
111788,ブラシ・チップ,111787
111789,アイメイク,111788
111790,アイブロー,111788
111791,チーク・フェイスブラシ,111788
111792,リップ,111788
111797,コットン,111787
112746,その他,110894
112750,その他,110933
112751,その他,110934
112752,その他,110942
112753,その他,110950
112754,その他,110958
112755,その他,110966
112756,その他,110974
112757,その他,110976
112759,その他,110983
112764,その他,111029
112767,その他,111048
112768,その他,111061
111927,OUTDOOR,111926
111928,カリマー,111926
111929,モンベル,111926
112775,その他,111116
111950,ナイキ,111949
111951,アディダス,111949
111951,アディダス,111949
111952,プーマ,111949
111953,ニューバランス,111949
111953,ニューバランス,111949
111954,コンバース,111949
111956,ナイキ,111955
111956,ナイキ,111955
111957,アディダス,111955
111958,プーマ,111955
111959,ニューバランス,111955
111960,コンバース,111955
111966,小物,111961
112782,その他,111150
111967,フック・針,111966
112785,その他,111167
112785,その他,111167
112786,その他,111173
112786,その他,111173
112789,その他,111197
112794,その他,111215
112812,その他,111346
112813,その他,111355
112814,その他,111363
112817,その他,111377
112818,その他,111384
112819,その他,111388
112134,置物・壁掛け,112132
112831,その他,111469
112159,キャップ,112149
112843,その他,111519
112843,その他,111519
112844,その他,111524
112844,その他,111524
112848,その他,111541
112881,その他,111775
112885,その他,111788
112897,その他,111903
112897,その他,111903
112901,その他,111926
112906,その他,111949
112907,その他,111955
112908,その他,111961
112909,その他,111966
112934,その他,112104
112936,その他,112115
112937,その他,112132
112940,その他,112149
112947,その他,112203
113067,ダイヤモンド,113066
113070,ビーズ,113066
113071,水晶,113066
113072,革,113066
113073,その他,113066
113077,ダイヤモンド,113074
113078,その他,113074
113085,その他,113084
200143,通信,100140
200144,サービス,100140
200145,その他,100140
200029,中国茶,100316
200139,ビンテージ・クラシカルカメラ,100212
200037,アイリッシュ・ウイスキー,100330
100364,烏龍茶,200029
200157,その他,100283
200404,ムース・ババロア,100283
200099,タイマー,100788
200100,計量スプーン,100788
200119,インテリアファブリック,100804
100762,容器・ストッカー・調味料容器,200166
200118,その他,100822
200166,収納家具,100804
200167,デスク,100804
100847,ラック,200166
100863,インテリア小物・置物,200166
200112,その他,100933
200112,その他,100933
200170,フィットネス・トレーニング,100939
200061,ストリート系スポーツ,101070
200067,ウインタースポーツ,101070
200904,エビ,100236
100244,その他,200904
101086,スキー,200067
200929,豚肉,100228
100230,その他,200929
101094,スノーボード,200067
200942,とり肉,100228
100231,その他,200942
200952,七面鳥,100228
200954,猪肉,100228
200955,鹿肉,100228
200956,ソーセージ,100228
100234,その他,200956
200963,ハム,100228
100233,その他,200963
200170,フィットネス・トレーニング,101035
200990,野菜・きのこ,100227
200974,ドリアン,100246
200976,キウイフルーツ,100246
200977,プラム,100246
200978,あんず,100246
200980,ブルーベリー,100246
200982,パパイヤ,100246
200984,レモン,100246
200985,ドラゴンフルーツ,100246
200988,すだち,100246
200989,ミラクルフルーツ,100246
100248,その他,200990
200168,野球,101070
200169,サッカー,101070
200170,フィットネス・トレーニング,101070
200170,フィットネス・トレーニング,101070
201015,煮物,100269
201018,和風食材,100268
201026,洋風食材,100268
201024,グラタン,100275
201025,サラダ,100275
201050,キムチ,100250
100251,その他,201050
201038,中華食材,100268
201031,エビチリ,100278
201032,北京ダック,100278
201033,蒸し鶏,100278
201034,豚角煮,100278
201085,卵,100227
201035,麻婆豆腐,100278
201036,酢豚,100278
201037,中華ポテト,100278
100279,フカヒレ,201038
201042,春巻き,100278
100235,その他,201085
201043,ちまき,100278
201044,小籠包,100278
201045,饅頭,100278
201046,揚げもち,100278
201047,中華点心セット,100278
201048,その他,100278
201093,うどん,100256
100258,その他,201093
201099,そば,100256
100257,その他,201099
200833,おでかけ,100533
200849,その他,100542
201114,パウンドケーキ,100283
201116,ミルクレープ,100283
201117,バウムクーヘン,100283
201119,アイスケーキ,100283
201121,モンブラン,100283
201123,クッキー,100283
200283,カーナビ,101126
200284,カーオーディオ,101126
200285,カーアクセサリー,101126
200286,ホイール・タイヤ周辺用品,101126
100290,その他,201123
101130,その他,200283
101129,その他,200284
200287,オイル・添加剤,101126
200288,セキュリティ・セーフティ,101126
200289,洗車・ケア用品,101126
