name,value,mySubCategoryFlg
排球,50038737,0
冰球/速滑/冰上运动,50040549,0
其他球类,50488001,0
山地车,50480008,0
自行车/装备/配件,50468004,0
电动车/电瓶车,50458008,0
自行车/单车,50474007,0
骑行服/装备,50462004,0
死飞/Fixed Gear,51032022,0
电动车/装备/配件,50464003,0
跑步机/大型健身器械,50038445,0
泳衣/游泳装备,50470012,0
轮滑/滑板/极限运动,50037900,0
舞蹈/健美操/体操,50037053,0
瑜伽,50037707,0
踏步机/中小型健身器材,50038418,0
跆拳道/武术/搏击,50040008,0
跳舞毯,50010828,0
跳绳/呼啦圈/民间运动,50412025,0
麻将/棋牌/益智类,50039742,0
飞镖/桌上足球/室内休闲,50040125,0
风筝,50040150,0
马术运动,50071984,0
F1/赛车,50040544,0
击剑运动,50071985,0
运动书籍/教材,50046273,0
赛事纪念/球迷用品,50412026,0
游乐场/体育场馆设施,50029680,0
田径运动器材,50038599,0
裁判用品,50408022,0
其他运动用品,50490001,0
运动健身卡/会员卡,50046254,0
珠宝/钻石/翡翠/黄金,50015926,1
饰品/流行首饰/时尚饰品,1705,1
ZIPPO/瑞士军刀/眼镜,28,1
太阳眼镜,50010368,0
眼镜架,50018533,0
功能眼镜,50018619,0
偏光太阳镜,50023876,0
眼镜片,50018552,0
眼镜配件、护理剂,50018752,0
装饰/搭配眼镜,50007281,0
滴眼液、护眼用品,50018751,0
ZIPPO/芝宝,2908,0
品牌打火机/其它打火机,50000467,0
瑞士军刀,290601,0
烟具/烟斗/烟嘴/戒烟,2909,0
酒具,50024180,0
数码相机/单反单电/摄像机,14,1
电脑硬件/显示器/电脑周边,11,1
办公设备/耗材/相关服务,50007218,1
打印机,110514,0
多功能一体机,111204,0
投影机,111219,0
保险箱,50043162,0
复印机,50044775,0
扫描仪,110501,0
包装设备/包装用品,50065158,0
传真/通讯设备,50008551,0
考勤门禁,50044774,0
更多办公设备,50010757,0
磁盘刻录存储用品,50097221,0
刻字机,50008331,0
点钞/验钞/收款机,50097239,0
条码扫描/采集器材,50097238,0
墨盒,111404,0
硒鼓/粉盒,111405,0
墨粉/碳粉,111403,0
办公用纸,50024360,0
色带/碳带,111407,0
墨水,50044772,0
油墨,50043789,0
办公线材,50043764,0
其它耗材,111409,0
投影机配件,50008352,0
打印机配件,50044681,0
更多办公设备配件,50024052,0
复印机配件,50024054,0
多功能一体机配件,50024055,0
商务礼品个性定制服务,50032611,0
刻录盘个性化服务,50024070,0
硒鼓加粉服务,50024071,0
设备维修或租赁服务,50024072,0
网络设备/路由器/网络相关,50041307,1
3C数码配件市场,50008090,1
大家电,50035182,1
厨房电器,50018930,1
生活电器,50018957,1
影音电器,50018908,1
耳机/耳麦,50018909,0
硬盘/网络播放器,50019214,0
扩音器,50019225,0
蓝光/DVD影碟机,50018914,0
收音机,50019665,0
移动/便携DVD,50019212,0
收录机/面包机,50019217,0
CD机/卡座/黑胶音源,50019130,0
复读机,50019218,0
CD/磁带/MD随身听,50099392,0
视频眼镜,50096928,0
组合/迷你/插卡音响,50018913,0
HIFI音箱,50018916,0
低音炮,50019131,0
Hifi套装,50019140,0
世嘉宠物小音响,50096919,0
功放,50018917,0
胆机,50018918,0
解码器,50018921,0
混响,50019134,0
耳放,50019132,0
话放,50019133,0
麦克风/话筒,50018923,0
KTV(舞台),50067695,0
调音台(舞台),50067680,0
工程解决方案,50019220,0
效果器(舞台),50067693,0
打碟机,50067696,0
均衡(舞台),50067683,0
分频器(舞台),50067694,0
专业音频放大器(舞台),50067685,0
Hifi音响配件,50028664,0
线材,50018919,0
麦克风/话筒配件,50036710,0
遥控器,50034050,0
电源插头/插座,50028731,0
碟/电池/电源适配器,50019251,0
耳机耳麦配件,50018928,0
音频/视频无线传输器材,50018927,0
更多影音配件,50018929,0
其他音箱&nbsp;,50096931,0
其他视听播放器,50099393,0
其它影音产品&nbsp;,50096930,0
保健按摩器材,50049318,1
按摩椅,50049389,0
腰颈按摩枕/靠垫,50049375,0
按摩棒/锤,50049323,0
按摩披肩,50051927,0
迷你按摩器,50049381,0
按摩椅垫,50049393,0
眼部按摩器,50049386,0
按摩床垫,50049401,0
头部按摩器,50049382,0
足浴器,50049319,0
按摩足疗机,50049385,0
艾条/艾绒/艾柱,50069281,0
刮痧片/板,50049378,0
温灸器,50069280,0
拔罐器,50049384,0
桑拿浴箱,50019182,0
点穴棒,50071970,0
足浴药,50049396,0
足部按摩走毯,50071999,0
血压计,50049325,0
电子体温计,50049383,0
电子计步器,50049387,0
保健项圈/手环,50049388,0
保健护膝/腰/腿,50049374,0
家用电子理疗仪,50049324,0
手杖/拐杖/助行器,50049394,0
电子血糖仪,50049377,0
家用氧吧,50067491,0
轮椅,50049390,0
坐便椅,50049391,0
接尿用品,50049395,0
足底理疗/气血循环机,50049376,0
止鼾器,50049392,0
配件专区,50072275,0
其他按摩器材,50049402,0
其他家庭保健器材,50049400,0
家电配件,50051952,1
美容护肤/美体/精油,1801,1
彩妆/香水/美妆工具,50010788,1
香水,50010815,0
BB霜,50031311,0
粉饼,50010790,0
粉底液/膏,50010789,0
隔离/妆前/打底,50010793,0
蜜粉/散粉,50010792,0
遮瑕,50010803,0
腮红/胭脂,50010805,0
修颜/高光/阴影粉,50010936,0
睫毛膏/睫毛增长液,50010794,0
眼线,50010797,0
眼影,50010796,0
眉笔/眉粉/眉饼,50010798,0
假睫毛/假睫毛工具,50044975,0
双眼皮贴/胶水,50010800,0
唇膏/口红,50010808,0
唇彩/唇蜜,50010807,0
唇笔/唇线笔,50010801,0
化妆/美容工具,50010817,0
化妆刷/刷包,50044977,0
彩妆套装/彩妆盘,50010812,0
指甲油/美甲产品,50010810,0
身体彩绘,50010813,0
男士彩妆,50044980,0
其它彩妆,50010814,0
美发护发/假发,50071436,1
刘海片,50071657,0
整顶假发,50071655,0
接发片,50071658,0
其它假发/假发配件,50071660,0
假发配件/工具,50071659,0
马尾/发包/丸子,50071656,0
洗发水,50071661,0
护发素,50071662,0
发膜/倒膜,50071664,0
免洗护发素,50071663,0
洗发护发套装,50071666,0
弹力素,50071667,0
蓬松喷雾,50071670,0
发泥/发蜡,50071668,0
发胶,50071671,0
蓬蓬粉,50071669,0
直发膏,50071672,0
染发膏,50071673,0
其它美发护发产品,50071675,0
烫发水,50071674,0
童装/童鞋/亲子装,50008165,1
婴幼外出服套装,50095672,0
连身衣/爬服/哈衣,50010537,0
新生儿礼盒,50032645,0
婴儿步前鞋/学步鞋,50095668,0
婴儿内衣,50095669,0
披风/斗篷,50010530,0
防抓手套/婴儿袜,50095784,0
罩衣/袖套/围嘴,50095676,0
大PP裤,50095696,0
肚兜/肚围/护脐带,50095671,0
棉衣/羽绒服,50010531,0
普通外套/开衫,50023854,0
卫衣/绒衫,50010518,0
毛衣/针织衫,50029370,0
T恤,50376021,0
马甲,50010524,0
夹克/皮衣,50388020,0
呢大衣/风衣,50010520,0
衬衫,50010527,0
吊带/贴身背心,50382016,0
西服/小西装,50368020,0
针织背心,50368026,0
裤子,50095699,0
打底/小脚/靴裤,50095697,0
牛仔裤,50095692,0
裙子,50095702,0
连衣裙,50095700,0
休闲裤,50386031,0
背带裤,50095693,0
哈伦裤/灯笼裤,50095698,0
运动裤,50370018,0
背带裙,50095701,0
儿童套装,50095706,0
秋衣/棉毛衫裤,50095703,0
运动套装,50010528,0
内裤/睡衣,50368022,0
旗袍/唐装/礼服,50380013,0
舞蹈服/演出服,50033987,0
校服/校服定制,50038005,0
儿童泳衣/裤/帽,50074799,0
摄影服装,50492050,0
亲子装,50046016,0
母女装,50046018,0
母子装,50046017,0
亲子鞋,50372016,0
青少年羽绒服,50382021,0
青少年牛仔裤,50380025,0
青少年运动鞋,50398005,0
青少年休闲装,50376026,0
青少年T恤,50390023,0
少女连衣裙,50384031,0
青少年帆布鞋,50392029,0
青少年休闲裤,50370016,0
青少年风衣,50392028,0
青少年衬衫,50380024,0
青少年小西装,50370015,0
靴子/雪地靴,50023998,0
运动鞋/球鞋,50023991,0
皮鞋,50023993,0
帆布鞋,50398003,0
棉鞋,50023999,0
凉鞋,50023997,0
家居拖鞋/凉拖,50024000,0
雨鞋/靴,50024004,0
舞蹈鞋,50039894,0
鞋垫/鞋带/其他,50386028,0
袜子,50006584,0
帽子/围巾/手套/口罩,50006583,0
可爱发饰,50023948,0
太阳镜,50023953,0
项链首饰,50023952,0
其它配饰,50023954,0
腰带/皮带/背带,50046238,0
领带/领结,50032712,0
孕妇装/孕产妇用品/营养,50067081,1
棉衣/大衣/羽绒服,50074078,0
卫衣/绒衫,50023975,0
外套/风衣,50023962,0
休闲套装,50098102,0
针织衫/毛衣,50098099,0
衬衫/雪纺衫/打底衫,50098100,0
T恤,50023967,0
吊带/背心/马甲,50098101,0
其它,50102469,0
孕妇裤/托腹裤,50073179,0
孕妇连衣裙/半身裙,50002664,0
打底裤/袜,50102473,0
背带裤,50102476,0
七分裤/九分裤,50102478,0
中裤/五分裤,50102477,0
孕妇婚纱/礼服,50528031,0
睡衣家居服/哺乳装,50006012,0
孕产妇文胸/内裤,50023965,0
保暖内衣,50074070,0
防辐射服,50102467,0
叶酸/维生素/钙铁锌,50005997,0
排卵试纸/早孕检测,50018553,0
